Idcode,aplt2010,acos2010,aper2010,aper10%,prod2010,rend2010,prec2010,valo2010,POBTOT10,Pob_rur10,Pob_rur%,P5_HLI10,P5_HL%I10,Categorie
1001,4383,0,4383,100,0,0,0,0,797010,56330,7.1,1752,0.22,0-1
1004,2296,0,2296,100,0,0,0,0,15042,10144,67.4,16,0.11,0-1
1005,200,0,200,100,0,0,0,0,99590,31515,31.6,177,0.18,0-1
1010,8363,0,8363,100,0,0,0,0,18828,13429,71.3,24,0.13,0-1
1011,310,0,310,100,0,0,0,0,35769,16146,45.1,72,0.2,0-1
10012,12,0,12,100,0,0,0,0,141043,33680,23.9,202,0.14,0-1
10027,1780,0,1780,100,0,0,0,0,5947,5947,100,3,0.05,0-1
13006,1950,0,1950,100,0,0,0,0,18879,18879,100,3128,16.57,0-1
13023,610,0,610,100,0,0,0,0,33901,12515,36.9,754,2.22,0-1
13030,1750,0,1750,100,0,0,0,0,86363,45842,53.1,31005,35.9,0-1
13041,440,0,440,100,0,0,0,0,42834,14556,34,859,2.01,0-1
13050,229,0,229,100,0,0,0,0,22217,4731,21.3,491,2.21,0-1
13054,710,0,710,100,0,0,0,0,32773,27035,82.5,7028,21.44,0-1
13063,2980,0,2980,100,0,0,0,0,80612,25147,31.2,3270,4.06,0-1
13064,1180,0,1180,100,0,0,0,0,9940,9940,100,220,2.21,0-1
13067,410,0,410,100,0,0,0,0,48025,16560,34.5,305,0.64,0-1
13076,2140,0,2140,100,0,0,0,0,103919,30056,28.9,574,0.55,0-1
15108,60,0,60,100,0,0,0,0,131567,5369,4.1,1449,1.1,0-1
15109,35,0,35,100,0,0,0,0,486998,3035,0.6,5079,1.04,0-1
20025,25,0,25,100,0,0,0,0,11105,342,3.1,556,5.01,0-1
20046,2170,0,2170,100,0,0,0,0,3313,3313,100,233,7.03,0-1
20054,450,0,450,100,0,0,0,0,409,409,100,3,0.73,0-1
20075,75,0,75,100,0,0,0,0,2671,0,0,84,3.14,0-1
20094,650,0,650,100,0,0,0,0,1898,1898,100,571,30.08,0-1
